,CFNAI,CPI,M2,ISM,bfly,divy,Spread
2001-06-01,-1.533615,0.03193960511033689,0.0841996933610567,0.15180722891566267,-1.3599999999999999,1.633252481,0.08347595663615559
2001-07-01,-0.912839,0.027214823393167498,0.08601296257578928,0.08131868131868147,-1.0700000000000003,1.629810273,0.007196972101170207
2001-08-01,-0.958144,0.027214823393167498,0.08737036806118437,0.20935412026726063,-0.9299999999999997,1.6728935650000003,-0.020056487659447453
2001-09-01,-1.556957,0.025921658986175045,0.10532942536327616,0.07322175732217584,-1.399999999999999,1.8839707,-0.12510469448217565
2001-10-01,-1.068525,0.02127659574468077,0.09480594312055013,-0.20934959349593507,-1.54,1.859485643,0.0047553703910092615
2001-11-01,-1.322912,0.01894374282433997,0.10585261600427454,-0.09576427255985265,-2.2700000000000005,1.701798574,0.01599237906537443
2001-12-01,-0.563327,0.01603665521191311,0.10003452267327329,0.0019493177387914784,-2.6900000000000004,1.60656997,0.04995215513821494
2002-01-01,-0.316685,0.011958997722095743,0.09341941193033265,0.41902313624678666,-2.730000000000001,1.5498836180000002,0.07797440829177038
2002-02-01,-0.282132,0.011363636363636465,0.09338319102561532,0.23625254582484723,-2.3899999999999997,1.600385722,0.07925799462059135
2002-03-01,-0.129078,0.013628620102214661,0.07928091305119156,0.24124513618677046,-3.05,1.427116192,0.1514934518328379
2002-04-01,-0.047977,0.01643990929705219,0.06679641884001564,0.08514492753623171,-2.74,1.324328986,0.08251636923304395
2002-05-01,0.035961,0.012408347433727984,0.07652832250385377,0.01812191103789118,-2.6800000000000006,1.3781307849999997,0.04536151202994454
2002-06-01,0.393279,0.010692177827799743,0.07264344659253807,-0.04075235109717856,-2.4000000000000004,1.330722326,-0.002565384785506053
2002-07-01,-0.654233,0.01465614430665152,0.07427229323887263,-0.13355592654424042,-1.9299999999999995,1.594372826,-0.06891141838695547
2002-08-01,-0.194524,0.01747463359639223,0.07431050629766234,-0.18122977346278313,-1.5599999999999998,1.6280445239999999,-0.0677332327326099
2002-09-01,-0.43207799999999996,0.01516002245929271,0.05301488300872048,-0.1356209150326798,-0.9699999999999998,1.7899678540000004,-0.04119896490508701
2002-10-01,-0.6268600000000001,0.020270270270270174,0.06971673464784489,0.003853564547206201,-1.4100000000000001,1.8391698309999995,0.03446276808836013
2002-11-01,-0.026456999999999998,0.022535211267605604,0.06531878914017053,-0.013833992094861691,-2.0599999999999996,1.791824934,0.05214519701475406
2002-12-01,-0.988157,0.024802705749718212,0.06296959515590106,0.10964083175803419,-1.6300000000000001,1.8622143049999997,-0.012530997191636417
2003-01-01,0.424646,0.02757456387169399,0.06766972612062472,0.11708253358925136,-1.9100000000000004,1.9085558489999999,-0.009684746272881073
2003-02-01,-0.646687,0.03146067415730336,0.06461347135097584,0.04008016032064132,-1.5399999999999998,1.9937314899999998,-0.022391597792343898
2003-03-01,-0.495949,0.03025210084033625,0.06763099738827094,-0.19591141396933565,-1.7000000000000002,2.1212531329999997,0.008088556888246723
2003-04-01,-1.083618,0.02175125488008911,0.07124352331606221,-0.18900343642611683,-1.8800000000000001,1.928674672,0.016941769392450068
2003-05-01,-0.16020299999999998,0.018941504178273005,0.07768574069710521,0.028901734104046284,-1.2899999999999998,1.789754121,0.017180639805528752
2003-06-01,0.005457,0.01948775055679297,0.08125045149172871,0.1355932203389829,-1.6700000000000004,1.8352499139999998,-0.004545242516225345
2003-07-01,0.010764,0.020555555555555438,0.07933407404752524,0.20338983050847448,-2.6100000000000008,1.7652337120000001,-0.030885907936720525
2003-08-01,-0.312773,0.02216066481994461,0.07980928321087388,0.14419475655430714,-2.6100000000000003,1.653764874,-0.010600788076726042
2003-09-01,0.419362,0.02378318584070782,0.07311580067387835,0.13432835820895517,-2.0799999999999996,1.6700260040000001,0.07550345706855377
2003-10-01,0.191802,0.02041942604856528,0.06382006677209628,0.13380281690140872,-2.52,1.5449422169999998,0.0511423733290679
2003-11-01,0.688833,0.019283746556473913,0.054964415294445956,0.1309328968903436,-2.5699999999999994,1.419120005,0.034340255213187953
2003-12-01,-0.038451,0.020352035203520247,0.051545675581799344,0.17269736842105265,-2.5099999999999993,1.298061573,-0.02448189336951856
2004-01-01,0.153366,0.020262869660460092,0.04563621955001196,0.09627329192546563,-2.4200000000000004,1.29400202,-0.03215505709271205
2004-02-01,0.538058,0.01688453159041381,0.04899333470762035,-0.03762662807525319,-2.190000000000001,1.2360327460000002,-0.026755375944634507
2004-03-01,0.573774,0.017400761283306032,0.05161146845490627,-0.09396914446002813,-2.02,1.178308743,-0.010371720706674248
2004-04-01,0.29846300000000003,0.022925764192139875,0.05500962242621377,-0.04957507082152979,-2.790000000000001,1.27302733,0.026200711277969413
2004-05-01,0.8409610000000001,0.028977583378895444,0.05205442588761633,-0.03007518796992481,-2.8700000000000006,1.238337788,0.03096254641664642
2004-06-01,-0.41088199999999997,0.03167667941015839,0.04551452289088198,-0.05727554179566552,-2.6,1.0941197150000002,-0.0035166476731309793
2004-07-01,0.620831,0.02939575394665228,0.04222218532600586,-0.06408345752608047,-2.34,1.1571083889999998,-0.045161551329085725
2004-08-01,0.349033,0.025474254742547275,0.03875113271274411,-0.037209302325581395,-1.76,1.1722989139999997,-0.025299837173800244
2004-09-01,0.129438,0.025391680172879516,0.04782443441905038,-0.05254515599343179,-1.7099999999999997,1.136194353,-0.012870333626601171
2004-10-01,0.7677470000000001,0.03190914007571655,0.05169964652637837,-0.07006369426751591,-1.4399999999999995,1.1747295969999998,0.0006449775407861846
2004-11-01,-0.075158,0.03621621621621607,0.05704459399130268,-0.032206119162640934,-1.4900000000000002,1.076704468,-0.016755487993664442
2004-12-01,0.9630790000000001,0.033423180592991875,0.060084561009447146,0.14904679376083174,-1.4500000000000006,1.042649377,0.011407743401513737
2005-01-01,0.36901799999999996,0.028448738593666034,0.05776423099102068,-0.008561643835616417,-1.1599999999999997,1.063648499,0.0026380238536768408
2005-02-01,0.576604,0.030530262453133394,0.052043757369317545,-0.06988352745424298,-1.2100000000000004,1.049679162,-0.007989755612778038
2005-03-01,-0.39450999999999997,0.032068412613575736,0.046199144339791554,-0.12971342383107076,-1.3900000000000001,1.087594428,-0.018191316690772563
2005-04-01,0.793194,0.03361792956243326,0.040324793775324164,-0.07772020725388606,-0.9699999999999998,1.129755534,0.03638674948645648
2005-05-01,0.018298,0.02869287991498415,0.03309246706739999,-0.07334525939177106,-0.6699999999999995,1.093593807,0.05484605894535455
2005-06-01,0.45215500000000003,0.02541026998411855,0.03854878906000381,-0.03466204506065862,-0.5399999999999996,1.06766364,0.03725545122525342
2005-07-01,-0.052659000000000004,0.03067160232681121,0.04089402918498686,0.07116104868913875,-0.660000000000001,0.957014406,0.017229922471134862
2005-08-01,0.332106,0.03646934460887952,0.04136596507367529,0.11583011583011582,-0.2999999999999994,0.9793680150000001,-0.00219283960611083
2005-09-01,-0.875726,0.04741833508956805,0.04132035895090458,0.09335727109515246,-0.5899999999999994,0.982081929,0.011212273640135217
2005-10-01,0.9985290000000001,0.04350104821802936,0.04193366000753862,0.07342657342657333,-0.4100000000000006,1.047698998,0.03504707284876929
2005-11-01,0.9413520000000001,0.03338549817423053,0.0405449795867292,0.05882352941176472,-0.31000000000000094,1.0619294,0.046070802509573294
2005-12-01,0.436766,0.03338549817423053,0.04013336241547982,-0.013136288998357948,-0.17999999999999883,1.0198096110000001,0.036641400035118066
2006-01-01,0.716494,0.04018789144050117,0.047133222223952886,-0.04071661237785018,0.04999999999999982,1.000348105,0.0064380514740218775
2006-02-01,0.118343,0.0363825363825363,0.04967155443479343,-0.0032679738562092497,0.22850000000000126,1.049880606,-0.013988347659631861
2006-03-01,0.31393699999999997,0.03417918177110302,0.05053410663473956,-0.05158069883527461,-0.025399999999998535,1.0271489440000001,0.012256611906018788
2006-04-01,-0.061549,0.03613835828600931,0.05528745441849647,-0.05432937181663833,-0.05799999999999983,1.110067483,0.023904749376247647
2006-05-01,-0.143899,0.03977272727272729,0.052551762557643045,-0.09999999999999998,0.020999999999999908,1.222003554,0.058673590880486404
2006-06-01,0.034955,0.041817243159525175,0.0536079619744958,-0.03508771929824561,0.011099999999999,1.2303005919999999,0.03758996798461278
2006-07-01,-0.432288,0.041046690610569536,0.05295459067325803,0.0017953321364452268,0.2878999999999996,1.335507647,0.03497588564166998
2006-08-01,0.273469,0.03926568077511483,0.05323280785926432,0.007285974499089187,0.5320000000000009,1.348095666,4.1492364726058995e-05
2006-09-01,-0.087402,0.02012072434607637,0.050373332121707914,-0.0036363636363636598,0.4617999999999993,1.377690966,0.018764530738274443
2006-10-01,-0.409125,0.014063284781516971,0.05310361460311719,-0.03046594982078843,0.6857999999999995,1.3188425490000002,0.03079738829881218
2006-11-01,-0.245394,0.01968702675416467,0.0543587739210174,-0.08137432188065097,0.7657999999999996,1.293942062,0.03676214097520525
2006-12-01,1.025523,0.025239777889954462,0.05974955813187144,-0.062043795620437936,0.5445999999999991,1.4446270110000001,-0.011911130818698323
2007-01-01,-0.770877,0.020757651781234232,0.05587040921058506,-0.03512014787430684,0.5121000000000002,1.433118024,-0.026361117401598966
2007-02-01,0.269283,0.02420260782347028,0.05414263046282963,0.08464566929133865,0.7739000000000011,1.426454666,-0.03973534266888756
2007-03-01,0.36774,0.02798197295943905,0.06161656527981285,-0.023346303501945442,0.6674999999999995,1.4880501590000001,-0.03391390733823885
2007-04-01,-0.18799100000000002,0.025929247633283747,0.06387483825432305,0.09961685823754785,0.5300000000000002,1.483535061,-0.06636127842610784
2007-05-01,-0.039945999999999995,0.02709885742672613,0.06376253344702865,0.06352087114337568,0.035499999999999865,1.472391181,-0.08729219886846995
2007-06-01,-0.152489,0.02692765113974227,0.061669635296522474,0.1494023904382471,-0.04180000000000117,1.560601324,-0.11577117806352433
2007-07-01,-0.590761,0.023178905864958077,0.060931118184857525,0.020905923344947785,0.46330000000000027,1.7368669939999999,-0.13086755091019164
2007-08-01,-0.284091,0.01897448478900876,0.07245119305856829,-0.07167235494880553,-0.0812999999999997,1.8126707099999997,-0.10503640224556088
2007-09-01,-0.068607,0.028338264299802685,0.06487102216198282,-0.05719237435008673,-0.47869999999999946,1.922779512,-0.04780577386241813
2007-10-01,-0.6273850000000001,0.03610698365527476,0.058083446647105186,-0.03754266211604096,-0.23939999999999984,1.9656181960000003,0.07189019975675504
2007-11-01,-0.102976,0.04373267326732666,0.06249197998203515,-0.03676470588235292,-0.2872999999999992,2.193291338,0.05288719879030246
