INDEX_NAME,INDEX_CODE,INDEX_DATE,CLOSE_INDEX_VALUE,NET_CHANGE,% CHANGE
S&P SmallCap 600 Pure Value (TR),600PVTR,4-Nov-14,8752.126914,-19.21726778,-0.002190915
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Nov-14,8791.566729,39.43981533,0.004506312
S&P SmallCap 600 Pure Value (TR),600PVTR,6-Nov-14,8849.352201,57.78547167,0.00657283
S&P SmallCap 600 Pure Value (TR),600PVTR,7-Nov-14,8855.897553,6.545351757,0.000739642
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Nov-14,8862.563103,6.665549842,0.000752668
S&P SmallCap 600 Pure Value (TR),600PVTR,11-Nov-14,8864.173607,1.610504546,0.00018172
S&P SmallCap 600 Pure Value (TR),600PVTR,12-Nov-14,8937.323815,73.1502075,0.008252344
S&P SmallCap 600 Pure Value (TR),600PVTR,13-Nov-14,8852.748024,-84.57579088,-0.009463212
S&P SmallCap 600 Pure Value (TR),600PVTR,14-Nov-14,8852.91328,0.165256455,1.86672E-05
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Nov-14,8758.95827,-93.95501051,-0.010612892
S&P SmallCap 600 Pure Value (TR),600PVTR,18-Nov-14,8797.476145,38.51787479,0.004397541
S&P SmallCap 600 Pure Value (TR),600PVTR,19-Nov-14,8699.013616,-98.46252851,-0.011192134
S&P SmallCap 600 Pure Value (TR),600PVTR,20-Nov-14,8839.236232,140.2226163,0.01611937
S&P SmallCap 600 Pure Value (TR),600PVTR,21-Nov-14,8876.206822,36.9705894,0.004182555
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Nov-14,8943.229023,67.02220151,0.007550771
S&P SmallCap 600 Pure Value (TR),600PVTR,25-Nov-14,8933.498502,-9.730521216,-0.001088032
S&P SmallCap 600 Pure Value (TR),600PVTR,26-Nov-14,8963.737481,30.23897871,0.003384898
S&P SmallCap 600 Pure Value (TR),600PVTR,28-Nov-14,8806.225472,-157.512009,-0.017572135
S&P SmallCap 600 Pure Value (TR),600PVTR,1-Dec-14,8670.868296,-135.3571763,-0.015370624
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Dec-14,8749.84729,78.97899395,0.009108545
S&P SmallCap 600 Pure Value (TR),600PVTR,3-Dec-14,8853.061714,103.2144246,0.01179614
S&P SmallCap 600 Pure Value (TR),600PVTR,4-Dec-14,8790.102169,-62.95954527,-0.007111613
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Dec-14,8834.095851,43.99368172,0.005004911
S&P SmallCap 600 Pure Value (TR),600PVTR,8-Dec-14,8691.370516,-142.725335,-0.01615619
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Dec-14,8881.610169,190.2396537,0.021888338
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Dec-14,8635.864294,-245.7458758,-0.027669068
S&P SmallCap 600 Pure Value (TR),600PVTR,11-Dec-14,8653.252838,17.3885441,0.002013527
S&P SmallCap 600 Pure Value (TR),600PVTR,12-Dec-14,8544.341737,-108.9111007,-0.012586146
S&P SmallCap 600 Pure Value (TR),600PVTR,15-Dec-14,8486.204603,-58.13713388,-0.006804168
S&P SmallCap 600 Pure Value (TR),600PVTR,16-Dec-14,8474.216166,-11.9884374,-0.001412697
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Dec-14,8714.620144,240.4039778,0.028368875
S&P SmallCap 600 Pure Value (TR),600PVTR,18-Dec-14,8848.754226,134.1340828,0.015391845
S&P SmallCap 600 Pure Value (TR),600PVTR,19-Dec-14,8877.505712,28.75148549,0.003249213
S&P SmallCap 600 Pure Value (TR),600PVTR,22-Dec-14,8856.807264,-20.69844757,-0.002331561
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Dec-14,8919.426957,62.6196922,0.007070233
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Dec-14,8896.75617,-22.67078666,-0.002541731
S&P SmallCap 600 Pure Value (TR),600PVTR,26-Dec-14,8949.316343,52.56017269,0.005907791
S&P SmallCap 600 Pure Value (TR),600PVTR,29-Dec-14,9000.285492,50.96914965,0.005695312
S&P SmallCap 600 Pure Value (TR),600PVTR,30-Dec-14,8973.43004,-26.85545199,-0.002983844
S&P SmallCap 600 Pure Value (TR),600PVTR,31-Dec-14,8949.067153,-24.36288754,-0.002715003
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Jan-15,8886.266295,-62.80085753,-0.007017587
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Jan-15,8656.962423,-229.3038725,-0.025804299
S&P SmallCap 600 Pure Value (TR),600PVTR,6-Jan-15,8455.91925,-201.0431727,-0.023223293
S&P SmallCap 600 Pure Value (TR),600PVTR,7-Jan-15,8485.279366,29.36011652,0.003472138
S&P SmallCap 600 Pure Value (TR),600PVTR,8-Jan-15,8620.991909,135.7125425,0.01599388
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Jan-15,8532.271428,-88.72048083,-0.010291215
S&P SmallCap 600 Pure Value (TR),600PVTR,12-Jan-15,8443.53855,-88.73287797,-0.010399678
S&P SmallCap 600 Pure Value (TR),600PVTR,13-Jan-15,8456.312833,12.77428304,0.001512906
S&P SmallCap 600 Pure Value (TR),600PVTR,14-Jan-15,8413.070185,-43.24264866,-0.005113653
S&P SmallCap 600 Pure Value (TR),600PVTR,15-Jan-15,8231.110518,-181.9596667,-0.021628212
S&P SmallCap 600 Pure Value (TR),600PVTR,16-Jan-15,8389.685681,158.5751631,0.019265342
S&P SmallCap 600 Pure Value (TR),600PVTR,20-Jan-15,8290.240312,-99.44536881,-0.011853289
S&P SmallCap 600 Pure Value (TR),600PVTR,21-Jan-15,8313.996097,23.75578491,0.002865512
S&P SmallCap 600 Pure Value (TR),600PVTR,22-Jan-15,8462.600394,148.6042967,0.017873992
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Jan-15,8422.263784,-40.33660992,-0.004766456
S&P SmallCap 600 Pure Value (TR),600PVTR,26-Jan-15,8522.722606,100.458822,0.01192777
S&P SmallCap 600 Pure Value (TR),600PVTR,27-Jan-15,8468.284751,-54.43785456,-0.006387378
S&P SmallCap 600 Pure Value (TR),600PVTR,28-Jan-15,8243.627289,-224.6574622,-0.026529276
S&P SmallCap 600 Pure Value (TR),600PVTR,29-Jan-15,8345.172999,101.5457095,0.012318086
S&P SmallCap 600 Pure Value (TR),600PVTR,30-Jan-15,8219.664903,-125.5080959,-0.015039604
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Feb-15,8384.721126,165.056223,0.020080651
S&P SmallCap 600 Pure Value (TR),600PVTR,3-Feb-15,8631.78979,247.0686641,0.029466533
S&P SmallCap 600 Pure Value (TR),600PVTR,4-Feb-15,8582.835392,-48.95439741,-0.005671408
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Feb-15,8786.828816,203.9934238,0.023767603
S&P SmallCap 600 Pure Value (TR),600PVTR,6-Feb-15,8817.107107,30.27829052,0.003445872
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Feb-15,8810.648275,-6.458831344,-0.000732534
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Feb-15,8753.234849,-57.41342611,-0.006516368
S&P SmallCap 600 Pure Value (TR),600PVTR,11-Feb-15,8734.571856,-18.66299316,-0.002132125
S&P SmallCap 600 Pure Value (TR),600PVTR,12-Feb-15,8817.23054,82.65868402,0.009463393
S&P SmallCap 600 Pure Value (TR),600PVTR,13-Feb-15,8942.84783,125.61729,0.014246797
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Feb-15,8959.915812,17.06798227,0.001908562
S&P SmallCap 600 Pure Value (TR),600PVTR,18-Feb-15,8932.489006,-27.42680588,-0.003061056
S&P SmallCap 600 Pure Value (TR),600PVTR,19-Feb-15,8948.321922,15.83291505,0.001772509
S&P SmallCap 600 Pure Value (TR),600PVTR,20-Feb-15,8916.096412,-32.2255097,-0.003601291
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Feb-15,8866.596017,-49.50039523,-0.005551801
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Feb-15,8903.790151,37.19413404,0.004194861
